wall_time,trial_time,frame,sequence_nr,type,start_stop
1502182985.1892061,9.328,15986.0,239.0,LR,True
1502182985.4852061,9.624,15989.0,239.0,LR,False
1502182988.4522064,12.591,16018.0,239.0,LL,True
1502182988.5562055,12.694999000000001,16019.0,239.0,LL,False
1502182989.0212085,13.160001999999999,16024.0,239.0,LL,True
1502182989.1332047,13.271998000000002,16025.0,239.0,LL,False
1502183015.2772095,39.416003,16280.0,239.0,LL,True
1502183016.4932075,40.632001,16292.0,239.0,LL,False
1502183020.6382122,44.777006,16331.0,239.0,LL,True
1502183020.7502086,44.888002,16332.0,239.0,LL,False
1502183023.6772125,47.816006,16361.0,239.0,LR,True
1502183024.1902096,48.329003,16366.0,239.0,LR,False
1502183152.4692185,176.608012,17619.0,239.0,LL,True
1502183152.973219,177.11201200000002,17624.0,239.0,LL,False
1502183164.0132222,188.152016,17733.0,239.0,LR,True
1502183168.4072218,192.54601499999998,17776.0,239.0,LR,False
1502183168.4212208,192.560014,17776.0,239.0,LR,True
1502183169.1812205,193.320014,17784.0,239.0,LR,False
1502183170.39722,194.536014,17796.0,239.0,LR,True
1502183171.9252205,196.064014,17811.0,239.0,LR,False
1502183172.4702218,196.609015,17816.0,239.0,LR,True
1502183174.4452224,198.584016,17836.0,239.0,LR,False
1502183176.1812205,200.320014,17853.0,239.0,LL,True
1502183187.3252225,211.46401600000002,17963.0,239.0,LL,False
1502183187.5712204,211.710014,17965.0,239.0,LL,True
1502183187.7972224,211.93601600000002,17967.0,239.0,LL,False
1502183188.3322227,212.47101600000002,17973.0,239.0,LL,True
1502183197.4542234,221.593017,18060.0,239.0,LL,False
1502183206.3662252,230.505019,18148.0,239.0,LL,True
1502183208.3032243,232.44101899999998,18165.0,239.0,LL,False
1502183254.326228,278.46502200000003,18613.0,239.0,LR,True
1502183254.4502256,278.58802000000003,18614.0,239.0,LR,False
1502183255.52623,279.664028,18625.0,239.0,LR,True
1502183256.549227,280.688021,18635.0,239.0,LR,False
1502183262.0932279,286.23202200000003,18690.0,239.0,LL,True
1502183276.295229,300.434022,18830.0,239.0,LL,False
1502183277.4972286,301.636022,18841.0,239.0,TR,False
1502184016.9824233,0.0,19021.0,240.0,TR,True
1502184020.1404214,3.157002,19052.0,240.0,UL,True
1502184020.3184226,3.3359989999999997,19054.0,240.0,UL,False
1502184021.6404223,4.657999,19067.0,240.0,UL,True
1502184021.934423,4.952,19070.0,240.0,UL,False
1502184025.602424,8.619000999999999,19106.0,240.0,LR,True
1502184026.0934253,9.111002000000001,19111.0,240.0,LR,False
1502184026.398424,9.415001,19114.0,240.0,LR,True
1502184026.839431,9.856003,19118.0,240.0,LR,False
1502184028.1544235,11.172,19131.0,240.0,LR,True
1502184028.255422,11.272998,19132.0,240.0,LR,False
1502184029.3254259,12.343002,19143.0,240.0,LR,True
1502184033.3734238,16.391,19183.0,240.0,LR,False
1502184036.3444252,19.362002,19212.0,240.0,UL,True
1502184037.716429,20.734006,19225.0,240.0,UL,False
1502184039.2544255,22.272002,19240.0,240.0,UL,True
1502184043.518427,26.536003000000004,19283.0,240.0,UL,False
1502184044.328426,27.346003000000003,19291.0,240.0,UL,True
1502184045.876426,28.894003,19306.0,240.0,UL,False
1502184049.798426,32.816003,19345.0,240.0,UL,True
1502184052.0294256,35.047002,19367.0,240.0,UL,False
1502184062.9744265,45.992003000000004,19475.0,240.0,LR,True
1502184063.2864275,46.304004,19478.0,240.0,LR,False
1502184067.6704278,50.688004,19521.0,240.0,LR,True
1502184069.1214304,52.139007,19535.0,240.0,LR,False
1502184080.7014265,63.719003,19648.0,240.0,LR,True
1502184082.2464285,65.26400500000001,19663.0,240.0,LR,False
1502184086.733429,69.751005,19707.0,240.0,LR,True
1502184086.7424285,69.760005,19707.0,240.0,LR,False
1502184091.24543,74.263007,19752.0,240.0,UL,True
1502184091.7424304,74.760007,19757.0,240.0,UL,False
1502184109.3984332,92.41601,19931.0,240.0,LR,True
1502184109.7734315,92.79100799999999,19935.0,240.0,LR,False
1502184110.6864305,93.70400699999999,19944.0,240.0,LR,True
1502184114.7514312,97.769008,19984.0,240.0,LR,False
1502184115.2544305,98.27200699999999,19989.0,240.0,LR,True
1502184122.8464305,105.86300800000001,20063.0,240.0,LR,False
1502184136.8704329,119.88800900000001,20198.0,240.0,LR,True
1502184137.276433,120.29301000000001,20202.0,240.0,LR,False
1502184137.645431,120.663008,20206.0,240.0,LR,True
1502184138.695433,121.71300900000001,20216.0,240.0,LR,False
1502184152.9424336,135.96001,20357.0,240.0,UL,True
1502184153.1514347,136.169011,20359.0,240.0,UL,False
1502184160.7514367,143.769013,20431.0,240.0,UL,True
1502184160.9444325,143.962009,20433.0,240.0,UL,False
1502184161.0624368,144.08001399999998,20434.0,240.0,UL,True
1502184164.1904378,147.208014,20465.0,240.0,UL,False
1502184176.8544354,159.872012,20584.0,240.0,LR,True
1502184177.004435,160.02201200000002,20586.0,240.0,LR,False
1502184195.5984402,178.616017,20767.0,240.0,UL,True
1502184195.606437,178.624014,20767.0,240.0,UL,False
1502184196.3194413,179.337018,20774.0,240.0,UL,True
